PMC,Detector,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
48,A,0.404,0.0421,26.1128,0.0433,0.5026,0.0,28.0,11.1,56615.3,55.6,980.0,0.0,406.95,313.06
48,B,0.1958,0.0061,22.4918,0.0373,0.4314,0.0,13.9,1.7,50158.4,49.0,860.3,0.0,406.95,313.06
49,A,0.5296,0.0434,26.941,0.0084,0.3405,0.0104,37.3,11.6,59061.5,10.8,672.7,7.8,406.92,310.63
49,B,0.5129,0.0651,27.1808,0.0,0.3835,0.0,35.9,17.2,59137.4,0.0,752.2,0.0,406.92,310.63
50,A,0.5277,0.0713,26.9815,0.0077,0.0189,0.0,38.4,19.6,60441.3,10.2,38.1,0.0,406.86,308.2
50,B,0.6239,0.0705,29.3807,0.0,0.0519,0.0,43.3,18.4,62757.1,0.0,99.9,0.0,406.86,308.2
51,A,0.6006,0.0,29.1562,0.0,0.0544,0.0,39.4,0.0,58986.4,0.0,98.9,0.0,406.81,305.78
51,B,0.6069,0.035,29.6007,0.0,0.0637,0.0,40.1,8.7,60213.9,0.0,116.6,0.0,406.81,305.78
52,A,0.4939,0.0267,27.9136,0.0,0.263,0.0,34.6,7.1,60661.2,0.0,513.8,0.0,406.76,303.36
52,B,0.3509,0.0236,25.261,0.0058,0.1972,0.0,25.2,6.4,56232.1,7.6,393.3,0.0,406.76,303.36
53,A,0.4641,0.0491,26.9603,0.0582,0.3416,0.0,32.4,13.0,58514.3,74.7,667.1,0.0,406.71,300.95
53,B,0.557,0.0072,26.2331,0.0127,0.3732,0.0,39.3,1.9,57520.3,16.5,737.8,0.0,406.71,300.95
54,A,0.4876,0.0216,25.1428,0.0124,0.202,0.0032,34.6,5.8,55257.2,16.0,399.2,2.4,406.67,298.54
54,B,0.3633,0.0842,27.4237,0.0079,0.2651,0.0029,25.6,22.6,59901.5,10.1,519.8,2.2,406.67,298.54
55,A,0.2898,0.013,26.6364,0.035,0.3977,0.0,20.5,3.5,58745.5,45.4,785.3,0.0,406.62,296.13
55,B,0.2731,0.0525,26.6047,0.0,0.3873,0.0,19.5,14.3,59200.0,0.0,772.1,0.0,406.62,296.13
56,A,0.5085,0.02,24.9122,0.0446,0.3445,0.0,36.7,5.4,55922.3,59.3,697.2,0.0,406.56,293.73
56,B,0.3533,0.013,25.769,0.0157,0.3995,0.0,25.5,3.6,58098.3,20.8,808.1,0.0,406.56,293.73
57,A,0.3742,0.0715,26.739,0.0,0.2137,0.0,26.2,19.0,57894.4,0.0,415.6,0.0,406.52,291.33
57,B,0.4659,0.0374,27.741,0.0,0.22,0.0,31.7,9.6,58380.4,0.0,416.3,0.0,406.52,291.33
58,A,0.3334,0.0385,24.3556,0.0,0.3412,0.0,23.4,10.3,53378.5,0.0,671.1,0.0,406.47,288.94
58,B,0.2974,0.0343,23.9167,0.0088,0.2877,0.0091,21.4,9.4,53721.3,11.7,579.3,7.1,406.47,288.94
59,A,0.4266,0.0593,24.336,0.0639,0.7251,0.0099,29.8,15.7,53439.0,83.9,1440.3,7.4,406.42,286.55
59,B,0.4263,0.0071,23.9668,0.0633,0.7406,0.0,30.1,1.9,53464.5,84.3,1491.0,0.0,406.42,286.55
60,A,0.4954,0.0318,23.6145,0.0985,0.8936,0.0078,34.0,8.2,51306.2,128.9,1760.7,5.7,406.38,284.16
60,B,0.4429,0.0251,21.5113,0.0434,0.7383,0.0021,31.4,6.7,48150.5,58.2,1496.6,1.6,406.38,284.16
61,A,0.3498,0.0436,19.6912,0.0127,0.4369,0.093,24.5,11.6,43272.9,16.7,870.7,70.1,406.32,281.78
61,B,0.4137,0.0,20.0879,0.0361,0.4455,0.0801,29.3,0.0,44628.3,47.8,897.0,60.9,406.32,281.78
62,A,0.4963,0.0073,11.7533,0.0397,0.1428,0.2547,34.6,1.9,25273.7,52.5,287.3,186.5,406.28,279.4
62,B,0.3893,0.014,11.1671,0.0411,0.0757,0.2459,28.1,3.8,24786.6,55.6,156.4,187.7,406.28,279.4
63,A,0.6161,0.0,27.6039,0.0,0.1459,0.0157,42.7,0.0,59022.3,0.0,281.2,11.6,406.23,277.02
63,B,0.5253,0.0381,24.5721,0.0,0.1034,0.0184,37.0,10.1,53382.7,0.0,202.5,13.9,406.23,277.02
64,A,0.303,0.0521,26.7536,0.0,0.1867,0.0019,20.9,13.7,57267.6,0.0,357.6,1.4,406.18,274.65
64,B,0.4046,0.0595,28.2878,0.0,0.2065,0.0174,28.1,15.7,60698.5,0.0,398.0,13.0,406.18,274.65
65,A,0.2744,0.0581,25.7051,0.0302,0.6481,0.0046,19.0,15.3,55846.0,38.8,1265.5,3.4,406.13,272.29
65,B,0.512,0.0385,22.9431,0.0158,0.4979,0.0145,36.8,10.4,51548.6,21.2,1012.5,11.1,406.13,272.29
66,A,0.5625,0.0361,26.0936,0.1166,0.4814,0.0044,39.6,9.6,57376.2,152.8,956.3,3.3,406.08,269.92
66,B,0.398,0.0146,25.0754,0.075,0.4549,0.0,28.5,4.0,56120.6,99.3,914.9,0.0,406.08,269.92
67,A,0.347,0.0959,26.0202,0.0309,0.5873,0.0044,24.3,25.6,57101.0,40.2,1161.5,3.3,406.04,267.56
