PMC,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
579,0.3732,0.0344,23.1349,0.1259,0.8653,0.0154,25.7,9,50431.5,165,1705.9,11.4,396.2,408.45
580,0.4973,0.0332,23.5037,0.0805,0.7994,0.0082,34.7,8.7,51802.5,106.5,1596.5,6.1,396.24,411.04
581,0.2838,0.0411,23.3572,0.0225,0.4361,6e-04,19.7,10.9,50713.3,28.9,849.8,0.5,396.28,413.64
582,0.4596,0.0474,23.6614,0.0716,0.564,0.0098,32.2,12.6,52021,93.9,1120.8,7.4,396.32,416.24
583,0.4773,0.0299,23.1906,0.1305,0.9268,0.0149,33.3,7.9,51279.6,174.2,1859.2,11.1,393.78,416.25
584,0.2911,0.0319,21.6169,0.1353,0.6259,0.0102,20.6,8.6,48232.9,180.2,1256.9,7.8,393.74,413.65
585,0.338,0.0547,21.6082,0.1481,1.1416,0.0122,23.1,14.2,47302.9,197.1,2268.2,8.9,393.7,411.05
586,0.3765,0.0355,21.2585,0.1119,1.1079,0.041,25.8,9.2,46676.1,149.4,2212.7,30.2,393.66,408.46
587,0.2896,0.0409,22.9435,0.0929,0.8331,0.0048,20,10.8,50349.1,121.9,1648.5,3.6,393.62,405.87
588,0.3228,0.0636,25.3842,0.0416,0.6043,0.0176,22.5,16.9,55550.9,54,1191.2,13.2,393.58,403.3
589,0.4651,0.0326,28.4958,0,0.0398,0,33,8.8,62377.4,0,78.2,0,393.54,400.71
590,0.3388,0.0065,26.5891,0,0.1142,0,24.4,1.8,59382.7,0,228.1,0,393.5,398.14
591,0.4252,0.0215,22.2053,0.0306,0.4341,0.022,30.1,5.8,49114.4,40.3,866.8,16.7,393.46,395.57
592,0.2518,0.0137,21.6209,0.0708,0.8212,0,17.5,3.6,47781,93.5,1633.4,0,393.42,393.01
593,0.3872,0.0689,24.6043,0.078,0.7043,0.0067,26.6,18,53253,100.8,1376.3,4.9,393.38,390.45
594,0.1543,0.0344,22.7873,0.0292,0.4876,0.0127,10.8,9.3,50198.6,37.9,961.4,9.7,393.34,387.89
595,0.3837,0.0435,24.4246,0.1182,0.7005,0.0141,26.5,11.4,53092.2,153.6,1373.9,10.5,393.3,385.34
596,0.3776,0.0314,24.3356,0.0639,0.8409,0.0142,26,8.2,53029.3,83.3,1655.5,10.5,393.27,382.79
597,0.3065,0.0376,22.5398,0.0473,0.4202,0.0044,21.2,9.9,48944.7,60.8,819.7,3.3,393.23,380.25
598,0.5535,0.0492,30.8733,0.0035,0.1069,0,35.8,12,61503.8,4,191.3,0,393.19,377.71
599,0.3457,0.0095,26.9238,0,0.0377,0.0057,25.1,2.6,60267.4,0,75.4,4.5,393.15,375.17
600,0.0443,0,18.4997,0,0.0726,0.1508,4.6,0,59822.1,0,210.1,174.5,393.11,372.64
601,0.3318,0.0768,27.9415,0,0.1105,0.0036,23.8,21,62018.3,0,219.7,2.8,393.07,370.11
602,0.5434,0.066,27.0236,0,0.0364,0.0181,39.6,18.1,60570.1,0,73.5,14,393.03,367.59
603,0.3611,0.0316,27.8374,0,0.0172,0,25.5,8.5,60804.6,0,33.6,0,392.99,365.07
604,0.7657,0.1031,27.0499,0.038,0.126,0,51,26,55475.8,46.2,234.4,0,392.96,362.56
605,0.3343,0.0497,28.5535,0,0.0885,0,23.6,13.4,62333.9,0,172.7,0,392.92,360.05
606,0.1888,0.0177,27.2308,0,0.052,0,13.9,5,62221.9,0,105.8,0,392.88,357.54
607,0.307,0,26.8294,0,0.173,0,21.4,0,58014,0,334.2,0,392.84,355.04
608,0.3724,0.0761,24.3557,0,0.2733,0.0058,26.5,20.6,53952.2,0,544.8,4.5,392.8,352.54
609,0.4026,0.0461,26.3671,0,0.1912,0.0153,28.2,12.2,57211.6,0,372.5,11.5,392.77,350.05
610,0.4717,0.0767,28.3777,0,0.2352,0,32.2,19.8,60101.9,0,447.7,0,392.73,347.56
611,0.4934,0.0125,24.6445,0.1811,0.7876,0,34.6,3.3,54607.1,240.9,1577.2,0,392.69,345.07
612,0.4955,0.0513,21.9379,0.1338,0.9786,0.0048,34.2,13.3,48241.2,178.5,1956.6,3.6,392.65,342.59
613,0.2998,0,23.2596,0.0488,0.507,0.0024,20.9,0,50983.7,63.2,997,1.8,392.61,340.1
614,0.4735,0.0378,24.5485,0.0076,0.1666,0.0186,33.6,10.1,53990.6,9.8,329.9,14.2,392.57,337.64
615,0.3324,0.0335,26.2768,0,0.1515,0,23,8.8,56232.1,0,290.2,0,392.54,335.17
616,0.3479,0.0559,26.6419,0.0026,0.1704,0.0119,24.5,15,58184.5,3.3,333.7,9.1,392.5,332.7
617,0.4469,0.0581,25.2875,0,0.2113,0.003,31.4,15.5,55112,0,414.2,2.3,392.47,330.25
618,0.3037,0.0181,25.7949,0.0176,0.1801,0,21.5,4.9,56592.2,22.7,353.3,0,392.42,327.78
619,0.2589,0,22.9688,0.0648,0.5979,0,18.1,0,50562.4,84.5,1180.5,0,392.39,325.33
620,0.2563,0.0071,23.0595,0.0098,0.3091,0.0046,18,1.9,50510.7,12.6,605.9,3.5,392.35,322.88
621,0.1597,0,23.3048,0,0.2462,0.0039,11.3,0,51455.4,0,484.6,3,392.31,320.43
622,0.3577,0.0353,23.099,0.054,0.5968,0,25.2,9.4,51132.4,71.2,1191.1,0,392.27,317.99
623,0.3419,0.0422,26.7798,0.0167,0.2728,0,23.9,11.2,58064,21.3,530.2,0,392.24,315.56
624,0.309,0.007,26.6914,0.0125,0.3888,0,21.4,1.9,57628.9,15.9,751.7,0,392.2,313.13
625,0.2574,0.0474,25.4768,0.0094,0.3231,0,18.4,12.9,56789.5,12.3,644.5,0,392.16,310.69
626,0.2289,0.0167,21.1246,0.1267,1.1749,0.0239,15.7,4.4,46444.3,168.8,2336.9,17.8,392.12,308.27
627,0.6051,0.0032,19.9982,0.1699,1.5743,0.0103,41.2,0.8,44240.7,233.8,3201.4,7.4,392.08,305.85
628,0.2127,0.0101,19.3486,0.1762,1.6537,0.0402,14.3,2.6,42550.1,239.6,3312.4,29.3,392.05,303.43
629,0.2972,0.0451,18.8963,0.2098,1.9761,0.0245,19.8,11.4,41665.7,290.4,3996.5,17.6,392.02,301.02
630,0.349,0.0341,22.3018,0.1249,1.0867,0.0135,24.3,9,49541.2,167.9,2187.6,10.1,391.99,298.61
631,0.1943,0.0326,23.7863,0.1044,0.7501,0.0128,13.5,8.7,52431.1,137,1484,9.7,391.95,296.2
632,0.2912,0.0485,24.3655,0.0757,0.5788,0,20.5,13,53976.8,99.5,1151.8,0,391.9,293.8
633,0.4897,0.0034,24.2657,0.0868,0.6398,0.0132,34.3,0.9,53427.9,114.1,1273.5,9.9,391.86,291.4
634,0.1838,0,22.7458,0.1259,0.8851,0.0072,12.9,0,50668.6,167.7,1769.9,5.5,391.83,289.01
635,0.3978,0.0423,22.1392,0.1424,1.1543,0.0113,27.4,11,48750.2,190.6,2308,8.3,391.79,286.62
636,0.5183,0.0637,24.67,0.1046,0.8642,0.0166,35.7,16.5,53659.1,137.1,1705.7,12.2,391.75,284.23
637,0.2235,0.0128,25.79,0.0583,0.4394,0.0091,15.7,3.4,56720.3,75.5,864.9,7,391.72,281.84
638,0.4388,0.0157,26.5956,0.067,0.2957,0.0261,30.8,4.2,57959.3,86.1,579.4,19.7,391.69,279.46
639,0.2996,0.0399,22.2964,0.1473,1.066,0.0088,20.8,10.6,49601.7,198,2144.4,6.6,391.65,277.09
640,0.3137,0.054,23.3131,0.0487,0.6024,0.0095,21.7,14.2,50711,63,1180.6,7.1,391.61,274.72
641,0.1756,0.0621,24.4592,0.0921,0.8884,0.031,12.3,16.6,54161.2,121.7,1769.9,23.5,391.57,272.35
642,0.2095,0.0236,21.7113,0.1983,1.8404,0.011,14.1,6.1,47949.8,270.1,3692.6,8.1,391.54,269.99
643,0.3192,0.0363,20.0663,0.2252,1.7901,0.0186,21.8,9.4,44959.3,313.8,3664.1,13.7,391.5,267.63
644,0.3445,0.0562,22.4743,0.0931,0.4421,0.0168,24,14.9,49142.8,120.9,870.9,12.6,391.47,265.27
645,0.3606,0.0531,21.4482,0.1399,1.4251,0.0214,24.8,13.9,47641,190.6,2884.5,15.8,391.43,262.92
646,0.3254,0.0255,26.6864,0.0461,0.5472,0.0013,22.6,6.7,57967.9,59.2,1066.7,1,391.4,260.56
647,0.5552,0.0444,30.4577,0.0038,0.1196,0,37.2,11.2,62841.7,4.6,221.8,0,391.36,258.23
648,0.3849,0.0296,26.604,0,0.179,0,27.2,8,58339.8,0,351.7,0,391.32,255.89
649,0.3514,0.0096,29.0136,0,0.1864,0,24.4,2.5,62380.1,0,358.3,0,391.29,253.55
650,0.4134,0.073,30.6042,0,0.1072,0,27.4,18.4,62636.7,0,196.6,0,391.25,251.21
651,0.5636,0.0483,26.5572,0,0.0343,0.0163,41.1,13.3,59534.9,0,69.3,12.7,391.22,248.88
652,0.4931,0.0088,29.5438,0,0.0295,0,34,2.3,62757.7,0,56.1,0,391.18,246.55
653,0.3752,0.0129,27.754,0,0.019,0,27.6,3.6,63055.3,0,38.5,0,391.15,244.23
654,0.5233,0.076,26.6813,0,0.0356,9e-04,38.1,20.9,59808.5,0,71.9,0.7,391.11,241.92
655,0.7655,0.0522,31.0596,0,0.0483,0,50.1,12.8,62443.3,0,87.7,0,391.08,239.59
656,0.5481,0.059,29.5001,0,0.0464,0,36.2,14.7,59989.4,0,84.8,0,391.04,237.28
657,0.4928,0.055,29.1059,0,0.0515,0,32.4,13.7,58971.2,0,93.6,0,391.01,234.98
658,0.4658,0.0615,29.826,0,0.0485,0,31.7,15.9,62557.2,0,91.3,0,390.97,232.67
659,0.2221,0.0218,27.5364,0,0.1142,0.0089,16,6,61339.8,0,226.8,7,390.93,230.37
660,0.3427,0.0169,27.4072,0,0.0735,0.0084,24.4,4.6,60310.2,0,144.6,6.4,390.9,228.08
661,0.5826,0.0393,27.9482,0,0.0494,0,38.3,9.7,56593.6,0,89.9,0,390.87,225.78
662,0.2972,0.0239,27.3886,0,0.0703,0,21.9,6.7,62255.2,0,142.7,0,390.83,223.49
663,0.5405,0.0979,26.536,0,0.0494,0.0031,39.4,26.9,59526.9,0,100,2.4,390.8,221.21
664,0.253,0.0526,26.3114,0,0.1096,0,18.3,14.5,58905.3,0,219.2,0,390.76,218.92
665,0.3575,0.0351,29.1298,0.0157,0.1151,0,24.2,9.1,61041,19.3,215.6,0,390.73,216.64
666,0.2983,0.0534,26.4365,0.0089,0.0817,0,21.6,14.7,59117.1,11.6,163.4,0,390.69,214.37
667,0.4006,0.0277,26.7634,0,0.0505,0,29.1,7.6,60007.4,0,101.4,0,390.66,212.1
668,0.4046,0.0118,28.6683,0,0.0271,0,28.9,3.2,63039.8,0,53.3,0,390.62,209.82
669,0.2945,0.0177,28.8586,0.0097,0.036,0,20.9,4.8,63211.8,12.4,70.3,0,390.59,207.56
670,0.4193,0.05,29.3243,0,0.0245,0,29.1,13.2,62693.9,0,47,0,390.55,205.3
671,0.3564,0.0635,26.9217,0,0.0028,0,25.9,17.5,60284.6,0,5.7,0,390.52,203.04
672,0.2477,0.0319,28.2427,0,0,0,18,8.9,63284.1,0,0,0,390.48,200.79
673,0.3356,0.0613,29.4396,0.0082,0.0263,0.0014,23.5,16.3,63450.8,10.3,50.6,1.1,390.45,198.54
674,0.5452,0.1024,31.6039,0,0.0346,0.0038,35.5,25.6,63285.7,0,62.2,2.6,390.41,196.29
675,0.5152,0.0227,30.0191,0,0.0528,0,35.1,5.9,62957.8,0,99.3,0,390.38,194.05
676,0.5338,0.0448,26.7295,0.0015,0.0173,0,38.9,12.3,59889.3,2,34.9,0,390.35,191.81
677,0.8504,0.0823,34.8397,0,0.0228,0,50.2,18.2,63017.6,0,37.2,0,390.31,189.57
678,0.3411,0.0869,28.3135,0,0.0196,0.0162,24.7,24,63301,0,39.3,12.7,390.28,187.34
679,0.3394,0.0452,30.1416,0,0.0355,0,22.9,11.6,62695.1,0,66,0,387.92,187.35
680,0.4483,0.0177,29.3069,0,0.0491,0,31.2,4.7,62792.9,0,94.1,0,387.95,189.58
681,0.4754,0.0651,28.8381,0,0.0165,0.0019,33.6,17.4,62795,0,32.2,1.4,387.99,191.82
682,0.4313,0.0661,28.775,0,0.0268,0,30.6,17.8,62964.4,0,52.6,0,388.02,194.06
683,0.5159,0.0339,28.9152,0,0.0263,0,36.6,9.1,63148.4,0,51.6,0,388.05,196.3
684,0.7451,0.0591,32.4764,0,0.0305,0,47,14,62933.1,0,53.2,0,388.08,198.55
685,0.0896,0.0209,24.0242,0.0023,0.0228,0.0301,7.4,6.8,62462.3,3.4,52.6,27.7,388.12,200.8
686,0.4147,0.0591,26.9298,0.0053,0.0062,0.0061,30.2,16.3,60322.3,7,12.5,4.8,388.15,203.05
687,0.3804,0.0701,29.6611,0,0.0225,0,25.7,18,61689.8,0,41.8,0,388.18,205.31
688,0.4261,0.0727,31.1429,0,0.055,0,27.9,18.1,62882.7,0,99.4,0,388.21,207.57
689,0.6007,0.0714,26.7697,0,0.0245,0,43.8,19.6,60004.7,0,49.5,0,388.25,209.84
690,0.6224,0.0642,28.8343,0,0.0581,0.0033,44.6,17.3,63578.1,0,115.5,2.5,388.28,212.1
691,0.6122,0.0937,33.2468,0,0.0566,0,37.5,21.6,62587,0,95.7,0,388.31,214.38
692,0.3026,0.0588,28.5644,0,0.0722,0,21.4,15.9,62343.6,0,140.9,0,388.35,216.65
693,0.3285,0.0286,26.2985,0,0.1051,0.0016,23.8,7.9,58950.1,0,210.8,1.3,388.38,218.94
694,0.4111,0.0399,27.7761,0,0.0429,9e-04,30.2,11.1,62912.9,0,87.1,0.7,388.41,221.22
695,0.3662,0.0292,28.7963,0,0.0165,0,25.9,7.9,62823.8,0,32.2,0,388.44,223.51
696,0.5802,0.0272,26.4288,0.0138,0.037,0,42.3,7.4,59281,18.2,74.6,0,388.48,225.79
697,0.4047,0.032,27.596,0,0.0683,0.005,28.2,8.5,59386.4,0,131.7,3.7,388.51,228.09
698,0.2301,0.0237,29.3748,0,0.0529,0,15.7,6.2,62036.9,0,99.6,0,388.54,230.39
699,0.3591,0.0767,26.5713,0,0.0399,0.0043,26.6,21.6,60775.2,0,81.7,3.5,388.58,232.69
700,0.2773,0.0261,25.9767,0,0.068,4e-04,21.1,7.6,61195.8,0,143.2,0.3,388.61,234.99
701,0.3981,0.0514,29.4304,0,0.0411,0,27.4,13.4,62371.2,0,78,0,388.64,237.3
702,0.5227,0.0206,29.9672,0,0.014,0,34.1,5.1,60149.4,0,25.2,0,388.68,239.61
703,0.2588,0.0365,28.4733,0,0.0396,0,18.4,9.9,62468.9,0,77.5,0,388.71,241.93
704,0.3045,0.0516,26.9039,0,0.0126,0,22.1,14.3,60163.1,0,25.2,0,388.75,244.24
705,0.4791,0.0629,26.6266,0.0017,0.0526,0.0078,34.9,17.3,59728,2.3,106,6.1,388.78,246.57
706,0.4142,0.0238,29.4824,0,0.0849,0,28.5,6.2,62666,0,161.6,0,388.81,248.9
707,0.4711,0.0364,28.7934,0,0.0329,0,33.4,9.8,62928.4,0,64.4,0,388.85,251.22
708,0.5701,0.0379,26.3369,0,0.1153,0.003,41.4,10.4,59076.3,0,233,2.3,388.88,253.56
709,0.2658,0.0493,21.9047,0,0.3727,0,18.9,13.4,48693.8,0,745.3,0,388.91,255.9
710,0.4701,0.0644,25.9489,0.0277,0.5459,0,32,16.6,55191.3,35,1048.7,0,388.95,258.23
711,0.1669,0.111,22.8469,0.0948,1.5726,0.0437,11.3,29.3,50247.6,127.2,3145.1,32.2,388.98,260.58
712,0.1912,0.0199,13.3786,0.3571,3.5838,0.0323,11.9,4.7,30042.2,548.7,7555.3,21.8,389.02,262.92
713,0.2599,0.0071,23.1854,0.1408,0.7106,0.0066,18.2,1.9,51480.1,186.4,1417.5,5,389.04,265.29
714,0.221,0.0093,23.4614,0.1518,1.0609,0,15.1,2.4,51111,198.7,2080.2,0,389.09,267.64
715,0.2084,0.0398,17.9089,0.6989,0.818,0.1115,14.5,10.6,40098.3,964.1,1656.3,84.9,389.11,270
716,0.2786,0,17.9887,0.7684,0.8159,0.1299,19.6,0,40749.1,1075.9,1673.5,99.9,389.15,272.37
717,0.4394,0,24.3399,0.1193,0.7934,0.0177,30.6,0,53471.4,157.1,1574.4,13.2,389.19,274.73
718,0.2994,0.0256,24.8384,0.0742,0.5528,0.0229,20.7,6.8,53912.1,95.5,1078.5,17.2,389.21,277.11
719,0.3098,0.0063,27.8495,0.0151,0.2458,0.0026,21.3,1.7,59522.3,18.9,470,2,389.25,279.48
720,0.4773,0.0666,24.5681,0.0408,0.7274,0.0104,33,17.4,53515,53.2,1434.8,7.7,389.29,281.86
721,0.2949,0.0087,22.5905,0.0846,0.9275,0.0057,20.5,2.3,49847.3,111.8,1846.7,4.3,389.31,284.24
722,0.413,0.0459,21.176,0.1291,1.2732,0.0391,28.5,12,46891,175.1,2573.5,28.9,389.36,286.62
723,0.4223,0.0073,19.0751,0.1962,1.5674,0.0195,29,1.9,42714.1,272.8,3212.3,14.3,389.4,289.02
724,0.2825,0.0348,22.4132,0.102,0.897,0.0083,19.3,9.1,48651.3,132.9,1757.3,6.1,389.43,291.41
725,0.3487,0.0479,21.5532,0.1123,1.1561,0,24.1,12.6,47796.6,151.2,2326.1,0,389.46,293.81
726,0.2988,0.0235,21.562,0.0881,1.1231,0.0177,20.5,6.1,47461.3,117.2,2239.7,13.1,389.49,296.21
727,0.3432,0.0258,20.7705,0.1162,1.4091,0.0071,23.4,6.7,45801.1,156.9,2827.5,5.2,389.52,298.62
728,0.4534,0.0408,20.0366,0.1051,1.5259,0.0148,30.7,10.4,44083,143,3076.8,10.7,389.56,301.03
729,0.2379,0.0256,17.5091,0.0745,1.0838,0.0856,16.2,6.7,38470.6,100,2172.3,63.1,389.6,303.44
730,0.2953,0.0278,19.0492,0.0706,0.798,0.0785,20.6,7.4,42317.6,94.6,1609.6,59.1,389.64,305.86
731,0.3235,0.0367,19.0667,0.1514,1.7144,0.0281,21.9,9.4,42266.8,208.8,3480.2,20.5,389.68,308.28
732,0.3657,0.0391,21.1727,0.1684,1.3426,0.0133,25,10.1,46640,227.2,2691.8,9.8,389.69,310.7
733,0.2952,0.0578,21.4906,0.0781,0.7695,0.0158,20.5,15.3,47301.6,103,1529.8,11.8,389.74,313.13
734,0.2296,0.0295,21.8338,0.0675,0.5239,0.0111,15.8,7.8,47204.1,86.4,1016.5,8.3,389.78,315.57
735,0.2714,0.0333,25.2221,0.0635,0.5855,0.0204,18.8,8.8,54801.1,81.7,1142.8,15.3,389.81,318
736,0.4533,0,24.5839,0.039,0.8081,0,31.4,0,53698.2,50.9,1594.4,0,389.85,320.45
737,0.1537,0.0614,22.1756,0.0416,0.5332,0,10.8,16.6,49111.9,54.4,1058.4,0,389.88,322.89
738,0.2593,0.0754,24.2826,0.0882,0.7855,0.0136,18,20,53232.7,115.3,1551.2,10.2,389.92,325.34
739,0.4764,0.0475,26.9005,0.0354,0.3064,0.0112,33.6,12.7,58947.2,45.8,604.6,8.4,389.96,327.8
740,0.4135,0.0323,25.923,0,0.1267,0.0076,28.9,8.6,56090.4,0,245.9,5.7,389.98,330.25
741,0.3509,0.0207,26.2361,0.0068,0.3077,0.0291,25,5.6,58115.1,8.8,612,22.4,390.03,332.72
742,0.4095,0.0746,25.6383,0,0.2631,0,28.2,19.5,54803.1,0,506.3,0,390.06,335.18
743,0.3873,0.0514,21.9246,0.0785,0.4628,0.0022,27.2,13.7,48356.4,103,920.6,1.6,390.1,337.65
744,0.3906,0.0189,17.758,0.3118,2.4951,0.0298,25.8,4.7,39601,447.6,5145,21.1,390.13,340.12
745,0.5329,0.0479,20.9198,0.2077,1.3773,0.0341,36.2,12.2,45818.6,280.9,2763.4,24.6,390.16,342.59
746,0.5018,0.0122,26.2929,0.0984,0.3825,0,34.9,3.2,56973.2,126.2,745.9,0,390.2,345.08
747,0.2709,0.0549,24.8519,0.0336,0.6728,0.0079,18.9,14.6,54738.9,44,1332,6,390.24,347.56
748,0.5012,0.0314,26.1051,0.0287,0.5204,7e-04,35.1,8.3,57124.7,37.2,1027.7,0.5,390.27,350.06
749,0.4218,0.0524,27.1449,0,0.3533,0.0038,29.5,13.9,59033.5,0,690.7,2.9,390.31,352.56
750,0.4648,0.0469,28.1551,0,0.2024,0,31.9,12.2,59765,0,386.3,0,390.35,355.05
751,0.6274,0.0484,24.8111,0.0148,0.2185,0.0043,45.5,13.2,55722.8,19.7,443.9,3.3,390.38,357.55
752,0.4543,0.0966,28.2669,0.0058,0.1799,0,31.9,25.7,61248.5,7.4,350.6,0,390.42,360.06
753,0.1806,0.0178,25.4931,0,0.0502,0,13.4,5.1,58709.3,0,102.8,0,390.45,362.56
754,0.4509,0.0565,28.5843,0.0172,0.0908,0,31.7,15.1,62038.4,21.8,176.8,0,390.49,365.08
755,0.7283,0.061,30.834,0,0.0837,0.009,47.6,14.9,62007.6,0,152,6.3,390.53,367.6
756,0.6385,0.0328,29.4399,0,0.0521,0,44.1,8.5,62590.6,0,99.7,0,390.56,370.12
757,0.3053,0.0666,28.9498,0,0.0216,0.0011,21.6,18,63069.2,0,42.1,0.8,390.6,372.65
758,0.2051,0.0218,23.1538,0,0.026,0.0084,15.9,6.5,55643.8,0,55.8,7.1,390.64,375.18
759,0.3484,0.0275,27.9896,0,0.0616,0.0114,25.1,7.5,62303.6,0,122.6,8.9,390.67,377.71
760,0.5223,0.093,29.8997,0,0.1381,0,33.9,22.8,59848.3,0,248.9,0,390.71,380.26
761,0.5623,0.032,24.7506,0.0784,0.6699,0,39.1,8.4,54074,102.5,1325.5,0,390.75,382.8
762,0.3423,0.0204,23.549,0.1067,0.7696,0.006,23.7,5.4,51652.2,140,1521.4,4.5,390.79,385.35
763,0.291,0.0335,23.2807,0.1157,0.8752,0.005,20,8.8,50858.4,151.6,1723.5,3.7,390.82,387.9
764,0.1857,0.0424,20.7381,0.1839,1.6456,0.0249,12.6,11,45798.5,250,3301.2,18.2,390.86,390.45
765,0.3607,0.0396,23.7681,0.1118,0.7422,0.0211,25.1,10.5,52203.4,146.9,1470.4,15.8,390.9,393.02
766,0.3194,0.0811,21.8556,0.0953,1.0657,0.0032,22,21.3,48123.9,126.8,2127.6,2.4,390.93,395.59
767,0.2204,0.0083,23.7465,0.0666,0.791,0,15.3,2.2,52252,87.1,1563,0,390.97,398.15
768,0.5734,0.0158,28.2081,0,0.0927,0,37.7,3.9,57258.5,0,169.2,0,391.01,400.73
769,0.3832,0.0369,26.1587,0,0.403,0,26.7,9.7,56809.6,0,786,0,391.04,403.3
770,0.336,0,20.2282,0.0541,0.9572,5e-04,23.2,0,44572.4,71.8,1908.6,0.3,391.08,405.89
771,0.4424,0,20.3629,0.1742,1.3664,0.0303,30.5,0,45411.5,238.9,2780.3,22.4,391.12,408.47
772,0.3666,0.0497,20.5543,0.1656,1.4306,0.0284,25,12.8,45305.5,224.6,2878.4,20.8,391.16,411.06
773,0.3772,0.0406,22.9926,0.0899,0.4777,0.0149,26.8,10.9,51256.8,119,959.4,11.4,391.19,413.66
774,0.3617,0,24.5943,0.0636,0.3881,0,25,0,53065,81,751.4,0,391.23,416.26
775,0.642,0.0389,22.45,0.0869,1.1408,0.0194,44.2,10,49262.2,116.3,2291.2,14.2,388.69,416.27
776,0.5155,0.055,24.9438,0.0901,0.7342,0.0377,35.6,14.3,54189.2,117.4,1446.8,27.8,388.65,413.67
777,0.3497,0.0449,24.0217,0.0991,0.5094,0.001,24.4,11.9,52533.2,128.5,1001.7,0.7,388.62,411.07
778,0.3423,0.048,24.7375,0.1024,0.5862,0.0046,24.1,12.9,54855.2,135,1169.2,3.5,388.58,408.49
779,0.3859,0.0227,24.9966,0.0732,0.572,0.01,26.9,6,54712.8,95.2,1127.3,7.5,388.55,405.9
780,0.3144,0.0053,24.0105,0,0.2553,0.0056,22,1.4,52387.5,0,498.8,4.3,388.51,403.32
781,0.7044,0.0479,30.0097,0.0023,0.142,0,46.7,11.9,61322.4,2.8,261.9,0,388.48,400.74
782,0.2382,0.0281,23.1247,0.1216,0.8841,0.0069,16.5,7.5,51106.8,160.8,1757.8,5.2,388.44,398.16
783,0.3277,0.0376,20.5162,0.1006,0.9367,0,22.6,9.9,45172.6,133.8,1866.8,0,388.41,395.6
784,0.4986,0,26.7551,0.0388,0.3515,0,34.6,0,57802.8,49.5,682.6,0,388.37,393.03
785,0.2438,0.0042,23.4476,0.0695,0.844,4e-04,17,1.1,51785.2,91.4,1676.2,0.3,388.34,390.47
786,0.4195,0.0624,22.0615,0.0952,1.1243,0.0212,29.2,16.4,48987.7,128.3,2273.2,15.8,388.3,387.91
787,0.3057,0.0514,22.5635,0.0131,0.2215,0,21.4,13.7,49031.2,16.7,432,0,388.26,385.36
788,0.2256,0.0377,27.7338,0.002,0.0993,0,16,10.2,60843.7,2.5,194.2,0,388.23,382.81
789,0.6608,0.0575,32.5315,0,0.1,0,40.8,13.3,61812.9,0,171.1,0,388.2,380.27
790,0.6338,0.0427,27.035,0.0168,0.269,0.004,44.6,11.3,58962,21.7,529.6,3,388.16,377.73
791,0.3715,0.0029,26.218,0.0204,0.3473,0,26.8,0.8,58988.8,27,700.9,0,388.13,375.19
792,0.234,0.0042,28.5842,0,0.0264,0,16.4,1.1,62017.9,0,51,0,388.09,372.66
793,0.3594,0,27.5253,0,0.0694,0,25.2,0,59744.3,0,134.7,0,388.06,370.14
794,0.3386,0.0625,22.0857,0.0937,0.9781,0.0011,23.4,16.4,48641,124.3,1949.9,0.9,388.02,367.61
795,0.3649,0.0087,25.2411,0.0712,0.5561,0.0011,25.3,2.3,54973.7,91.9,1089.6,0.8,387.99,365.1
796,0.3792,0.0264,27.9803,0,0.1333,0,26.7,7.1,60988.5,0,260.2,0,387.96,362.58
797,0.5291,0.0539,28.327,0,0.071,0,35.9,13.8,59242.6,0,133.4,0,387.92,360.07
798,0.4408,0.051,27.1209,0,0.202,0,31.2,13.7,59609.2,0,398.5,0,387.89,357.56
799,0.4337,0.0402,28.2845,0,0.1942,0.002,29.8,10.5,60205.8,0,371,1.5,387.85,355.06
800,0.3535,0.045,23.7664,0,0.2602,0.0035,24.7,12,51550.4,0,507.6,2.6,387.82,352.56
801,0.3506,0.0242,28.1671,0,0.1084,0.0071,24.9,6.6,61914.8,0,213.1,5.5,387.78,350.07
802,0.4263,0.0384,28.042,0,0.0662,0,30.5,10.4,61853,0,130.9,0,387.75,347.58
803,0.5471,0.0371,27.8367,0.0196,0.17,0,38.5,9.8,60502.6,25,332.5,0,387.72,345.09
804,0.4532,0.0326,20.8554,0.2046,1.906,0.0206,30.5,8.3,45947.8,281.6,3854.3,14.8,387.68,342.61
805,0.2079,0.0483,22.6507,0.1131,1.0377,0,14.3,12.8,49940.8,150,2061.2,0,387.65,340.13
806,0.4103,0.0015,25.3314,0.0468,0.6346,0,28.3,0.4,54892.7,60.2,1238.5,0,387.61,337.66
807,0.2379,0.0561,24.3133,0,0.1376,0.0035,17.2,15.6,54628.4,0,276.4,2.8,387.58,335.19
808,0.3432,0.0838,23.9395,0,0.2747,0,24.1,22.4,52309.5,0,539.4,0,387.55,332.72
809,0.2055,0.009,25.932,0.0164,0.392,0.0042,14.5,2.4,56921.9,21.1,770.1,3.2,387.52,330.27
810,0.5597,0.0516,25.7838,0.0222,0.2304,0.0029,38.6,13.4,55152,28.1,444.4,2.2,387.48,327.8
811,0.4039,0.0515,22.8014,0.2691,1.0543,0.0128,27.8,13.4,50043.8,358.7,2097.1,9.4,387.45,325.35
812,0.4202,0.0573,20.7649,0.1538,1.3074,0.0512,29,15,46196,210.3,2659.2,37.9,387.42,322.91
