PMC,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
141,0.197,0.0096,20.9869,0.0938,1.0324,0.04,13.6,2.5,46280,124.5,2054.8,29.9,403.75,274.66
142,0.3891,0.0517,28.0388,0.0019,0.2468,0,26.9,13.6,60208.3,2.4,475.5,0,403.8,277.03
143,0.5433,0.0075,21.886,0,0.2907,0.0794,36.8,1.9,45951.1,0,554.1,57.2,403.84,279.41
144,0.3479,0.0103,18.2878,0.0149,0.3364,0.1199,23.9,2.7,39235.4,19.1,655.2,89.3,403.89,281.79
145,0.191,0.0503,23.8735,0.0854,0.8635,0,13.2,13.4,52493.8,112,1706.9,0,403.93,284.17
146,0.4091,0.05,23.5437,0.0912,0.829,0.015,28.6,13.3,52072,121.1,1659.8,11.3,403.98,286.56
147,0.4463,0,24.2999,0,0.4268,0,31.2,0,53109.9,0,839.4,0,404.04,288.95
148,0.2198,0.0492,27.3431,0,0.1497,0.0021,15.4,13.2,59316.6,0,289.9,1.6,404.08,291.34
149,0.385,0.0719,26.7145,0.0053,0.4243,0.0128,26.8,19,57942,6.8,828.5,9.6,404.13,293.74
150,0.4348,0.0019,26.2739,0.0334,0.4792,8e-04,30.7,0.5,57934.5,43.6,950.4,0.6,404.17,296.14
151,0.4562,0.0456,22.8554,0.0289,0.4539,0.0073,32.4,12.2,50708.6,38.1,909.6,5.5,404.22,298.55
152,0.1252,0.0705,24.3723,0.0713,0.9235,0,8.6,18.7,53330.9,93,1815.4,0,404.27,300.96
153,0.475,0.0386,24.3376,0.09,0.7469,0,33.2,10.2,53704.9,118.8,1489.9,0,404.31,303.37
154,0.3784,0.0491,26.6259,0,0.2608,0.0019,26.2,12.9,57222.7,0,503.1,1.4,404.37,305.79
155,0.5036,0.064,26.6553,0,0.075,3e-04,36.7,17.6,59829,0,151.4,0.2,404.4,308.21
156,0.3025,0.0713,27.9337,0.0175,0.1059,0,21.7,19.5,61951.7,22.6,210.1,0,404.45,310.64
157,0.4069,0.0819,26.0441,0.0306,0.513,0.0038,28.2,21.6,56486.3,39.3,1002.5,2.9,404.49,313.07
158,0.2433,0.0466,28.1495,0.0138,0.2259,0,16.8,12.3,60329.2,17.3,432.6,0,404.54,315.5
159,0.3791,0.0206,26.8065,0,0.0329,0.0015,27.5,5.7,60013.5,0,65.9,1.1,404.59,317.94
160,0.3302,0.0412,25.4854,0.0085,0.2545,0,23.2,11,55638.2,10.9,497.9,0,404.64,320.38
161,0.3613,0.0195,23.7758,0.011,0.3913,0,25.5,5.2,52461.7,14.3,775.6,0,404.69,322.83
162,0.3222,0.0522,23.8029,0.1288,1.0326,0.0152,21.9,13.5,51626.6,168.4,2024.1,11.2,404.74,325.28
163,0.3958,0.0069,21.3596,0.2006,1.2573,0.0235,27,1.8,46979.1,269.5,2512.6,17.3,404.78,327.73
164,0.5091,0.0511,22.8787,0.1294,1.0228,0.0229,34.8,13.2,49757.6,170.9,2025.1,16.7,404.83,330.19
165,0.3159,0.0093,23.1921,0.0841,1.0086,0,21.9,2.4,51192.3,111.4,2009.3,0,404.87,332.65
166,0.4617,0.0334,24.9825,0.0483,0.7074,0.0069,31.9,8.7,54236.5,62.6,1387.8,5.1,404.93,335.11
